strategy,family,score,dev_sharpe,holdout_sharpe,dev_cagr,holdout_cagr,max_drawdown,calmar,psr,annual_turnover,top_name_share,stability,degradation,fails_pre_ai_rally,stressed_sharpe,cost_fragile,verdict
"RelativeStrengthVsBench(bench=QQQ,lookback_days=126,rebalance=ME,top_n=8)",xsmom,5.139,0.43,2.4,0.1224,1.0642,-0.924,0.13,0.999,8.36,0.13,0.62,0.0,False,0.40665403584777443,False,inconclusive
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=momentum)",xsmom,5.112,0.82,2.29,0.3055,1.1818,-0.927,0.33,1.0,12.12,0.11,0.62,0.0,False,0.7617073184079232,False,inconclusive
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=150)",tsmom,5.073,0.89,2.01,0.2,0.4737,-0.627,0.32,1.0,8.62,0.06,0.62,0.0,False,0.8407535629145405,False,inconclusive
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",xsmom,5.036,0.73,2.19,0.2682,1.2015,-0.814,0.33,1.0,10.12,0.14,0.75,0.0,False,0.7003002628841715,False,rejected
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",xsmom,5.001,0.83,2.15,0.283,0.9201,-0.806,0.35,1.0,8.86,0.09,0.62,0.0,False,0.7941429892760186,False,rejected
"VolCompressionBreakout(entry_window=40,exit_window=20,max_positions=6,squeeze_pct=0.3)",breakout,4.992,0.84,2.04,0.274,0.6305,-0.88,0.31,1.0,40.79,0.1,0.75,0.0,False,0.6377179038662953,False,rejected
SimpleMomentum12_1(top_n=5),benchmark,4.989,0.73,2.07,0.2523,0.9802,-0.932,0.27,1.0,10.13,0.12,0.75,0.0,False,0.6907147386163017,False,benchmark
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",xsmom,4.925,0.79,2.1,0.2804,0.9778,-0.825,0.34,1.0,9.84,0.11,0.75,0.0,False,0.7499330196333787,False,rejected
"DonchianBreakout(entry_window=100,exit_window=20,max_positions=6,regime_filter=True)",breakout,4.905,0.51,2.18,0.136,0.9404,-0.65,0.21,1.0,50.92,0.12,0.62,0.0,False,0.31655673057762657,False,rejected
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",xsmom,4.897,0.67,2.28,0.2252,1.0787,-0.94,0.24,1.0,17.31,0.09,0.62,0.0,False,0.6155018579925025,False,rejected
"MLRankStrategy(alpha=10.0,horizon=21,min_train_years=5,rebalance=ME,refit_months=12,top_n=6)",ml,4.879,0.55,2.37,0.1594,1.0631,-0.952,0.17,1.0,11.25,0.09,0.62,0.0,False,0.5081921141759604,False,rejected
"RelativeStrengthVsBench(bench=QQQ,lookback_days=126,rebalance=ME,top_n=5)",xsmom,4.757,0.41,2.19,0.1153,1.042,-0.936,0.12,0.999,9.33,0.17,0.75,0.0,False,0.37974927823208804,False,rejected
BuyAndHold(ticker=PLTR),benchmark,4.748,0.34,2.11,0.0843,2.2395,-0.849,0.1,0.996,0.03,1.0,0.88,0.0,False,0.3401342535849037,False,benchmark
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",xsmom,4.744,0.83,2.11,0.2836,0.8657,-0.922,0.31,1.0,11.2,0.08,0.62,0.0,False,0.7785139682083271,False,rejected
BuyAndHold(ticker=MSFT),benchmark,4.732,0.56,2.05,0.1754,0.8932,-0.907,0.19,1.0,0.03,1.0,0.62,0.0,False,0.554939983237906,False,benchmark
BuyAndHold(ticker=SOXX),benchmark,4.715,0.39,2.08,0.0975,0.6352,-0.722,0.13,0.999,0.03,1.0,0.62,0.0,False,0.3899944626191233,False,benchmark
"RegimeSwitchedTech(cut=0.25,fallback=IEF,flags=('qqq_below_200', 'vix_high', 'rates_rising', 'breadth_weak'),rebalance=W-FRI)",regime,4.701,0.94,1.71,0.2131,0.5078,-0.543,0.39,1.0,6.9,0.06,0.62,0.0,False,0.8978227340381395,False,rejected
"EqualWeightUniverse(basket=None,rebalance=ME)",benchmark,4.701,0.76,1.78,0.2407,0.5967,-0.934,0.26,1.0,3.29,0.07,0.62,0.0,False,0.7441747713651026,False,benchmark
"XSRiskAdjMomentum(lookback_days=252,rebalance=ME,top_n=5)",xsmom,4.674,0.73,1.87,0.2473,0.8055,-0.824,0.3,1.0,9.91,0.11,0.75,0.0,False,0.6948213636489995,False,rejected
BuyAndHold(ticker=AVGO),benchmark,4.664,0.46,1.87,0.1272,1.1667,-0.668,0.19,1.0,0.03,1.0,1.0,0.0,False,0.4587390267926819,False,benchmark
"RegimeSwitchedTech(cut=0.34,fallback=IEF,flags=('qqq_below_200', 'vix_high', 'rates_rising', 'breadth_weak'),rebalance=W-FRI)",regime,4.63,0.96,1.67,0.1936,0.4758,-0.496,0.39,1.0,7.84,0.05,0.62,0.0,False,0.9040572952829522,False,rejected
"RegimeSwitchedTech(cut=0.2,fallback=IEF,flags=('qqq_below_200', 'vix_high', 'rates_rising', 'breadth_weak'),rebalance=W-FRI)",regime,4.625,0.9,1.73,0.2204,0.5247,-0.685,0.32,1.0,6.17,0.06,0.62,0.0,False,0.8686960455091585,False,rejected
"QualityGrowth(rebalance=QE,top_n=8,w_accel=0.3,w_growth=0.4,w_margin=0.3)",fundamental,4.617,0.73,1.93,0.2358,0.8169,-0.916,0.26,1.0,6.11,0.07,0.62,0.0,False,0.7042149707927422,False,rejected
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=100)",tsmom,4.589,0.85,1.86,0.1886,0.4358,-0.649,0.29,1.0,10.17,0.06,0.62,0.0,False,0.7880903802617488,False,rejected
BuyAndHold(ticker=META),benchmark,4.57,0.28,2.03,0.0684,1.6629,-0.742,0.09,0.988,0.03,1.0,0.88,0.0,False,0.27511403356927755,False,benchmark
"SemisLeadership(fallback=IEF,lookback_days=126)",regime,4.462,0.42,1.93,0.0898,0.5688,-0.705,0.13,1.0,3.67,0.76,0.62,0.0,False,0.4004123734672777,False,rejected
"CapWeightUniverse(basket=None,max_weight=0.25,rebalance=QE)",benchmark,4.417,0.65,1.72,0.207,0.6029,-0.931,0.22,1.0,3.92,0.26,0.62,0.0,False,0.6366841680000356,False,benchmark
BuyAndHold(ticker=SMH),benchmark,4.363,0.3,2.01,0.076,0.6172,-0.863,0.09,0.994,0.03,1.0,0.62,0.0,False,0.30437094958236627,False,benchmark
"DonchianBreakout(entry_window=20,exit_window=20,max_positions=6,regime_filter=True)",breakout,4.295,0.39,1.92,0.1002,0.8,-0.627,0.16,0.999,86.55,0.11,0.62,0.0,False,0.06354619745420845,False,rejected
"SemisLeadership(fallback=IEF,lookback_days=63)",regime,4.286,0.37,1.9,0.0801,0.552,-0.69,0.12,0.999,4.83,0.76,0.62,0.0,False,0.34156344241930914,False,rejected
"DualMomentum(fallback=IEF,lookback_days=252)",tsmom,4.259,0.43,1.87,0.094,0.5488,-0.738,0.13,1.0,3.62,0.83,0.62,0.0,False,0.40570039592355284,False,rejected
"DonchianBreakout(entry_window=20,exit_window=20,max_positions=6,regime_filter=False)",breakout,4.14,0.54,1.85,0.1661,0.7526,-0.917,0.18,1.0,127.45,0.11,0.62,0.0,False,0.15566492812824917,False,rejected
"DualMomentum(fallback=IEF,lookback_days=126)",tsmom,4.096,0.51,1.66,0.1121,0.4767,-0.692,0.16,1.0,4.78,0.67,0.62,0.0,False,0.4801011916773453,False,rejected
"DualMomentum(fallback=IEF,lookback_days=63)",tsmom,4.066,0.53,1.64,0.1148,0.4569,-0.712,0.16,1.0,6.95,0.64,0.75,0.0,False,0.4885906759337044,False,rejected
BuyAndHold(ticker=AAPL),benchmark,3.803,0.43,1.58,0.129,0.7297,-0.926,0.14,0.999,0.03,1.0,0.75,0.0,False,0.43385330014026535,False,benchmark
"ShortTermReversal(lookback_days=5,rebalance=W-FRI,top_n=5,trend_window=200)",meanrev,3.65,0.57,1.64,0.1795,0.6304,-0.9,0.2,1.0,59.45,0.1,0.62,0.0,False,0.39463293980158426,False,rejected
BuyAndHold(ticker=IGV),benchmark,3.531,0.39,1.44,0.0929,0.374,-0.587,0.16,0.999,0.03,1.0,0.62,0.0,False,0.39304644387315807,False,benchmark
BuyAndHold(ticker=TSM),benchmark,3.517,0.54,1.36,0.1813,0.6508,-0.905,0.2,1.0,0.03,1.0,0.75,0.0,False,0.5414177758763369,False,benchmark
"ShortTermReversal(lookback_days=10,rebalance=W-FRI,top_n=5,trend_window=200)",meanrev,3.465,0.65,1.41,0.2152,0.5156,-0.897,0.24,1.0,45.59,0.11,0.75,0.0,False,0.4903449513256133,False,rejected
"ValuationAwareGrowth(history_days=756,max_ps_own_pct=0.85,rebalance=QE,top_n=8)",fundamental,3.261,0.69,1.24,0.2248,0.4248,-0.938,0.24,1.0,6.48,0.11,0.62,0.0,False,0.6703754131262556,False,rejected
BuyAndHold(ticker=XLK),benchmark,3.193,0.35,1.32,0.0829,0.3267,-0.83,0.1,0.998,0.03,1.0,0.75,0.0,False,0.347110513661727,False,benchmark
BuyAndHold(ticker=AMD),benchmark,3.144,0.1,1.74,-0.1301,1.5912,-1.0,-0.13,0.796,0.03,1.0,0.5,0.0,False,0.09634623957418037,False,benchmark
BuyAndHold(ticker=NOW),benchmark,3.069,0.48,1.16,0.1275,0.5548,-0.761,0.17,1.0,0.03,1.0,0.88,0.0,False,0.47804825707374776,False,benchmark
BuyAndHold(ticker=QQQ),benchmark,3.04,0.29,1.34,0.0697,0.3241,-0.831,0.08,0.995,0.03,1.0,0.62,0.0,False,0.2914128866205426,False,benchmark
BuyAndHold(ticker=PANW),benchmark,3.02,0.35,1.15,0.0877,0.5658,-0.551,0.16,0.997,0.03,1.0,0.88,0.0,False,0.3474885555864084,False,benchmark
"ValuationAwareGrowth(history_days=756,max_ps_own_pct=0.7,rebalance=QE,top_n=8)",fundamental,2.897,0.62,1.1,0.2002,0.3611,-0.94,0.21,1.0,6.61,0.11,0.62,0.0,False,0.5970921361939471,False,rejected
"QQQMovingAverage(fallback=IEF,window=200)",benchmark,2.791,0.37,1.34,0.073,0.3243,-0.6,0.12,0.992,13.51,0.9,0.62,0.0,False,0.28090320932841856,False,benchmark
BuyAndHold(ticker=SPY),benchmark,2.747,0.44,1.04,0.0985,0.2188,-0.662,0.15,1.0,0.03,1.0,0.62,0.0,False,0.4444208283004434,False,benchmark
BuyAndHold(ticker=VRT),benchmark,2.744,0.32,1.06,0.077,0.6013,-0.656,0.12,0.998,0.03,1.0,0.88,0.0,False,0.3225209296227545,False,benchmark
BuyAndHold(ticker=TSLA),benchmark,2.663,0.45,1.06,0.136,0.7129,-0.855,0.16,0.999,0.03,1.0,0.75,0.0,False,0.446173745068187,False,benchmark
BuyAndHold(ticker=MRVL),benchmark,2.426,0.35,1.03,0.0711,0.5902,-0.973,0.07,0.992,0.03,1.0,0.62,0.0,False,0.34735165717011535,False,benchmark
BuyAndHold(ticker=GOOGL),benchmark,2.162,0.51,0.68,0.1478,0.2591,-0.561,0.26,1.0,0.03,1.0,0.75,0.0,False,0.5085803964375883,False,benchmark
BuyAndHold(ticker=CRM),benchmark,2.095,0.38,0.82,0.1058,0.3811,-0.87,0.12,0.997,0.03,1.0,0.75,0.0,False,0.38194428907668143,False,benchmark
BuyAndHold(ticker=MU),benchmark,1.872,0.35,0.78,0.0557,0.3814,-0.996,0.06,0.991,0.03,1.0,0.62,0.0,False,0.35186895171395677,False,benchmark
BuyAndHold(ticker=ORCL),benchmark,1.6,0.39,0.62,0.1097,0.2197,-0.988,0.11,0.998,0.03,1.0,0.62,0.0,False,0.3910070775907925,False,benchmark
BuyAndHold(ticker=VST),benchmark,1.28,0.16,0.42,0.0416,0.1388,-0.6,0.07,0.968,0.03,1.0,0.88,0.0,False,0.1603342260530343,False,benchmark
BuyAndHold(ticker=DELL),benchmark,0.994,0.32,0.21,0.0703,0.0515,-0.562,0.13,0.998,0.03,1.0,0.88,0.11,False,0.3190298928754179,False,benchmark
"BollingerReversion(entry_z=-2.5,exit_z=0.0,max_positions=5,trend_window=200,window=20)",meanrev,0.861,0.08,0.66,0.0167,0.2078,-0.912,0.02,0.876,22.71,0.27,0.5,0.0,False,-0.014185140611661649,False,rejected
"RSIReversion(entry=15,exit=60,max_positions=5,rsi_window=2,trend_window=200)",meanrev,0.759,0.29,0.4,0.0698,0.1241,-0.939,0.07,0.986,226.25,0.1,0.62,0.0,False,-0.37504953416888137,False,rejected
BuyAndHold(ticker=ARM),benchmark,0.745,0.22,0.03,0.0492,-0.1412,-0.27,0.18,0.999,0.03,1.0,1.0,0.19,False,0.22003068150304456,False,benchmark
BuyAndHold(ticker=CEG),benchmark,0.741,0.13,0.13,0.0369,0.0284,-0.505,0.07,0.994,0.03,1.0,0.88,0.0,False,0.1284096980251836,False,benchmark
"RSIReversion(entry=5,exit=60,max_positions=5,rsi_window=2,trend_window=200)",meanrev,0.685,0.34,0.32,0.0908,0.0886,-0.907,0.1,0.994,220.45,0.1,0.62,0.02,False,-0.30457213262355803,False,rejected
BuyAndHold(ticker=AMZN),benchmark,0.579,0.39,0.14,0.1074,0.0156,-0.971,0.11,0.997,0.03,1.0,0.75,0.25,False,0.38647614335205327,False,benchmark
"BollingerReversion(entry_z=-2.0,exit_z=0.0,max_positions=5,trend_window=200,window=20)",meanrev,0.478,0.18,0.31,0.0368,0.0939,-0.943,0.04,0.947,46.47,0.21,0.62,0.0,False,0.011040193155309989,False,rejected
"RSIReversion(entry=10,exit=60,max_positions=5,rsi_window=2,trend_window=200)",meanrev,0.475,0.29,0.26,0.069,0.0636,-0.945,0.07,0.986,223.95,0.1,0.62,0.02,False,-0.3726493747796473,False,rejected
BuyAndHold(ticker=SNOW),benchmark,0.42,0.13,0.16,0.0333,-0.0227,-0.863,0.04,0.942,0.03,1.0,0.75,0.0,False,0.12675889403762097,False,benchmark
BuyAndHold(ticker=CRWD),benchmark,-0.602,0.37,-0.26,0.0888,-0.2112,-0.674,0.13,0.999,0.03,1.0,0.75,0.63,False,0.371409117392968,False,benchmark
BuyAndHold(ticker=ASML),benchmark,-1.121,0.39,-0.36,0.1048,-0.1722,-0.894,0.12,0.996,0.03,1.0,0.5,0.75,False,0.38516631865237394,False,benchmark
BuyAndHold(ticker=SMCI),benchmark,-1.298,0.39,-0.49,0.1028,-0.4669,-0.895,0.11,0.997,0.03,1.0,0.88,0.88,False,0.3908510129842567,False,benchmark
BuyAndHold(ticker=ADBE),benchmark,-3.088,0.44,-1.0,0.1327,-0.3405,-0.975,0.14,0.999,0.03,1.0,0.5,1.44,False,0.4400522379389947,False,benchmark
